priority,handle,name,city,state,poc_segment,fields_to_review,website_original,website_enriched,website_confidence,website_pipeline_stage,type_original,type_enriched,type_confidence,type_pipeline_stage,industry_original,industry_enriched,industry_confidence,industry_pipeline_stage,size_original,size_enriched,size_confidence,size_pipeline_stage
1,company/data-group-ltd,DATA GROUP LTD,Annandale,Virginia,enterprise,"website, type, industry",datagroup.co.nz,datagroup.co.nz,0.45,sonnet,,Privately Held,0.6,sonnet,,Information Technology Services,0.5,sonnet,,,,
1,company/impact-group-brokerage,Impact Group Brokerage,Boise,Idaho,enterprise,,,,,,,,,,,,,,,,,
1,company/magicsound-63,MagicSound 63,Princeton,Nueva Jersey,enterprise,"type, industry, size",,,,,Nonprofit,Nonprofit,0.5,sonnet,furniture and home furnishings manufacturing,furniture and home furnishings manufacturing,0.45,sonnet,1K-5K,1K-5K,0.5,sonnet
1,company/dollar-express,Dollar Express Stores LLC,Charlotte,North Carolina,enterprise,size,,,,,,,,,,,,,1K-5K,1K-5K,0.4,haiku
1,company/united-cerebral-palsy-of-nyc-inc,"UNITED CEREBRAL PALSY OF NYC, INC",New York,New York,enterprise,size,,,,,,,,,,,,,1K-5K,501-1K,0.5,haiku
1,company/cyber-cell,cyber-cell,Kettleman City,California,enterprise,"type, industry",,,,,Government Agency,Government Agency,0.4,sonnet,alternative dispute resolution,IT custom software development,0.6,sonnet,,,,
1,company/vivid-horizon-group,Vivid Horizon Group,Los Angeles,California,enterprise,industry,,,,,,,,,financial services,business consulting and services,0.6,haiku,,,,
1,company/north-central-staffing-inc,"NORTH CENTRAL STAFFING, INC",Middleton,Wisconsin,enterprise,,,,,,,,,,,,,,,,,
1,company/aws-azure-devops-solution-architect-jobs-in-us,Aws Azure Devops Solution Architect Jobs in US,Milpitas,California,enterprise,,,,,,,,,,,,,,,,,
1,company/faegre-baker-daniels-llp,Faegre Baker Daniels LLP,Chicago,Illinois,enterprise,,,,,,,,,,,,,,,,,
1,company/amazon-certification-exam,AMAZON Certification Exam,El Paso,Texas,enterprise,"type, industry, size",,,,,Nonprofit,Nonprofit,0.5,sonnet,higher education,Professional Training and Coaching,0.6,sonnet,1K-5K,1K-5K,0.5,sonnet
1,company/oxy-finance,OXY-Finance,Sunnyvale,California,enterprise,"type, size",,,,,Public Company,Public Company,0.5,sonnet,,,,,501-1K,501-1K,0.5,sonnet
1,company/taurus-defense-solutions-llc,B,New York,New York,enterprise,size,,,,,,,,,,,,,10K+,10K+,0.4,sonnet
1,company/whollyone,WhollyOne,Los Angeles,California,enterprise,"type, industry, size",,,,,Public Company,Public Company,0.5,sonnet,it services and it consulting,IT Services and IT Consulting,0.55,sonnet,10K+,10K+,0.5,sonnet
1,company/alpine-access,Alpine Access,Tampa,Florida,enterprise,,,,,,,,,,,,,,,,,
1,company/tienda-antigua-guatemala,Tienda Antigua Guatemala,East Ellijay,Georgia,enterprise,size,,,,,,,,,,,,,501-1K,1-10,0.5,sonnet
1,company/cole-national-corporation,Cole National Corporation,Mason,Ohio,enterprise,,,,,,,,,,,,,,,,,
1,company/boeing-commercial-space-company,BOEING COMMERCIAL SPACE COMPANY,Kent,Washington,enterprise,,,,,,,,,,,,,,,,,
1,company/one-more-startup-in-stealth-mode,Startup (in Stealth Mode),San Francisco,California,enterprise,,,,,,,,,,,,,,,,,
